10288551,R
10763562,C
11683107,R
11915024,R
13115211,C
13966314,R
14673441,C
14676303,R
14730235,C
14901326,C
15368890,C
15603634,C
16103325,R
16429758,R
17697091,R
19482937,R
19775526,C
20387078,R
21622416,R
21633158,C
22229207,R
22245820,R
22250448,C
22415590,C
23340952,C
24289212,R
24937588,C
25092187,C
25545569,R
25647216,C
25855393,C
26607784,C
26704738,R
26786046,R
26787028,R
27146614,C
27223010,C
27261848,C
27822025,R
27901345,R
27967491,C
28658917,R
29365182,R
30286846,R
30695884,C
30943122,C
31067285,R
31076739,R
32406339,R
33408719,C
33797915,R
33927062,C
34537299,C
34662463,R
35227234,R
35480404,R
35794720,C
35997294,C
36070221,C
36195685,R
36229645,C
36720006,R
37651084,R
38332734,R
39464407,C
39638074,R
39694589,C
40338250,R
40930495,C
41118373,C
42126965,C
42226084,R
42864698,C
43098718,C
43326216,C
43449552,C
44344470,C
44491661,C
44671079,C
45724792,C
46014370,C
46021531,C
46984568,R
47015205,C
47099747,C
47606396,R
48688730,R
49127526,C
49173552,C
49662270,C
49889823,R
50249103,R
50606138,R
50610398,R
51434930,C
51769655,R
51944775,C
52087584,R
52687377,R
53524458,C
54515381,R
54633690,R
55702827,C
55737636,C
56260290,C
56818279,R
57332189,R
58145486,C
59553573,C
59860701,R
60097965,R
60127372,C
60889159,C
61319380,R
61505745,R
61663737,C
63340573,C
63348606,C
63648689,R
63754742,R
63845949,R
63869303,R
63941022,C
64276776,C
65462755,R
65928998,C
66153297,R
66203799,C
67012409,C
67535499,C
67842496,C
68295602,C
70441601,C
70857541,R
71070733,C
71103339,C
71397645,R
71426975,R
71587264,R
71618141,R
72018974,R
72021966,C
73288334,R
73319579,C
73751865,C
74035356,C
74854980,R
74864955,C
75038780,C
77270198,R
78387128,R
78866666,C
79128025,C
79864485,C
80821504,R
81036471,C
81167277,C
81791270,C
82114083,C
82787646,R
83690090,C
83756229,C
84567440,R
86315283,R
86436113,R
86568190,C
86582386,C
87458145,C
87477981,R
87712753,R
87810810,R
88841194,C
89002182,R
89519439,R
90184149,R
90193838,C
90625215,R
91014353,R
91577732,C
91663810,C
92055730,C
92276194,C
92810723,R
93074765,C
93626814,R
94210478,C
94481945,R
94842699,R
95264148,R
95357991,R
95828876,R
96383393,R
96509321,R
97550486,R
97594912,R
97673493,C
97785944,C
98244026,R
98950927,C
99396333,C
